index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,
11,2022-07-23-17:01:13,-92,100,100,100,-89,-87,100,100,100,100,100,-79,-55,100,100,-76,100,100,100,100,100,100,100,-93,-84,44,
12,2022-07-23-17:01:18,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-69,100,100,-71,100,100,100,100,100,100,100,-86,-75,44,
13,2022-07-23-17:01:23,-71,-80,100,100,-84,-82,100,100,100,100,100,-68,-59,100,100,-67,100,100,100,100,100,100,100,-87,-76,44,
14,2022-07-23-17:01:28,-90,-96,100,100,-89,-86,100,100,100,100,100,-79,-54,100,100,-77,100,100,100,100,100,100,100,-93,-84,44,
15,2022-07-23-17:01:33,-71,100,100,100,-83,-81,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,100,-77,44,
16,2022-07-23-17:01:38,-91,-95,100,100,-90,-86,100,100,100,100,100,-68,-55,100,100,-76,100,100,100,100,100,100,100,-87,-84,44,
17,2022-07-23-17:01:43,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-86,-75,44,
18,2022-07-23-17:01:48,-71,-76,100,100,-83,-82,100,100,100,100,100,-67,-58,100,100,-67,100,100,100,100,100,100,100,-87,-77,44,
19,2022-07-23-17:01:53,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,100,100,100,-70,100,100,100,100,100,100,100,100,100,44,
20,2022-07-23-17:01:58,-71,-76,100,100,-83,-82,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,-86,-77,44,
21,2022-07-23-17:02:03,-90,-95,100,100,-88,-86,100,100,100,100,100,-78,-54,100,100,-76,100,100,100,100,100,100,100,-93,-76,44,
22,2022-07-23-17:02:08,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-86,-74,44,
23,2022-07-23-17:02:13,-92,-80,100,100,-89,-85,100,100,100,100,100,100,-55,100,100,100,100,100,100,100,100,100,100,100,-75,44,
24,2022-07-23-17:02:18,-77,-96,100,100,-86,-86,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-86,-75,44,
25,2022-07-23-17:02:23,-77,-76,100,100,-84,-82,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,100,-75,44,
26,2022-07-23-17:02:28,-90,-95,100,100,-87,-85,100,100,100,100,100,-67,-55,100,100,-76,100,100,100,100,100,100,100,-92,-76,44,
27,2022-07-23-17:02:33,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,100,100,100,100,100,100,-92,-84,44,
28,2022-07-23-17:02:38,-71,-95,100,100,-84,-81,100,100,100,100,100,-68,-54,100,100,-76,100,100,100,100,100,100,100,-87,-76,44,
29,2022-07-23-17:02:43,-77,-80,100,100,-85,-79,100,100,100,100,100,-68,-54,100,100,-70,100,100,100,100,100,100,100,-86,-76,44,
30,2022-07-23-17:02:48,-71,-76,100,100,-83,-82,100,100,100,100,100,-68,-59,100,100,-67,100,100,100,100,100,100,100,-86,-76,44,
31,2022-07-23-17:02:53,-71,-77,100,100,-83,-81,100,100,100,100,100,100,-59,100,100,-67,100,100,100,100,100,100,100,-87,100,44,
32,2022-07-23-17:02:58,-77,-80,100,100,-86,-77,100,100,100,100,100,-68,-68,100,100,-67,100,100,100,100,100,100,100,-86,-75,44,
33,2022-07-23-17:03:03,-89,-76,100,100,-88,-86,100,100,100,100,100,-78,-54,100,100,-77,100,100,100,100,100,100,100,-87,-85,44,
34,2022-07-23-17:03:08,-77,-80,100,100,-86,-86,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-87,-75,44,
35,2022-07-23-17:03:13,100,-80,100,100,-86,-77,100,100,100,100,100,-68,-69,100,100,100,100,100,100,100,100,100,100,-85,-75,44,
36,2022-07-23-17:03:18,-90,-95,100,100,-89,-87,100,100,100,100,100,-79,-54,100,100,-77,100,100,100,100,100,100,100,-92,-84,44,
37,2022-07-23-17:03:23,-77,-80,100,100,-83,-82,100,100,100,100,100,-68,-69,100,100,-70,100,100,100,100,100,100,100,-86,-75,44,
38,2022-07-23-17:03:28,-90,-76,100,100,-89,-86,100,100,100,100,100,-79,-55,100,100,-77,100,100,100,100,100,100,100,-93,-84,44,
39,2022-07-23-17:03:33,-90,-94,100,100,100,100,100,100,100,100,100,-80,-55,100,100,100,100,100,100,100,100,100,100,100,-84,44,
40,2022-07-23-17:03:38,-71,-76,100,100,100,-81,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,-86,-77,44,
41,2022-07-23-17:03:43,100,-80,100,100,-90,-87,100,100,100,100,100,-68,-54,100,100,-76,100,100,100,100,100,100,100,-94,-84,44,
42,2022-07-23-17:03:48,-71,-76,100,100,-83,-81,100,100,100,100,100,-68,-58,100,100,-67,100,100,100,100,100,100,100,-86,-75,44,
43,2022-07-23-17:03:53,-71,-76,100,100,-83,-81,100,100,100,100,100,-67,-59,100,100,-67,100,100,100,100,100,100,100,-87,-77,44,
44,2022-07-23-17:03:58,-77,-80,100,100,100,-77,100,100,100,100,100,-68,-68,100,100,-71,100,100,100,100,100,100,100,-86,-76,44,
45,2022-07-23-17:04:03,-75,-76,100,100,-83,-78,100,100,100,100,100,-74,-60,100,100,-66,100,100,100,100,100,100,100,-88,-76,44,
46,2022-07-23-17:04:08,-75,-79,100,100,-91,-80,100,100,100,100,100,-85,-68,100,100,-77,100,100,100,100,100,100,100,-92,-74,44,
47,2022-07-23-17:04:13,-75,-80,100,100,100,-80,100,100,100,100,100,-68,-69,100,100,-71,100,100,100,100,100,100,100,-88,-74,44,
48,2022-07-23-17:04:18,-91,-94,100,100,-89,-87,100,100,100,100,100,-78,-54,100,100,-76,100,100,100,100,100,100,100,-93,-84,44,
49,2022-07-23-17:04:23,-77,-80,100,100,-87,-77,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-85,-76,44,
50,2022-07-23-17:04:28,-71,-77,100,100,-84,-80,100,100,100,100,100,-67,-60,100,100,-67,100,100,100,100,100,100,100,-87,-84,44,
51,2022-07-23-17:04:33,-92,-94,100,100,-89,-87,100,100,100,100,100,-80,-54,100,100,-76,100,100,100,100,100,100,100,100,-85,44,
52,2022-07-23-17:04:38,-71,-76,100,100,-83,-80,100,100,100,100,100,-67,-60,100,100,-67,100,100,100,100,100,100,100,-86,-76,44,
53,2022-07-23-17:04:43,-90,-93,100,100,-90,-86,100,100,100,100,100,-78,-55,100,100,-80,100,100,100,100,100,100,100,-95,-84,44,
54,2022-07-23-17:04:48,-76,-81,100,100,-85,-79,100,100,100,100,100,-68,-70,100,100,-71,100,100,100,100,100,100,100,-85,-77,44,
55,2022-07-23-17:04:53,-71,-79,100,100,-84,-80,100,100,100,100,100,-67,-60,100,100,-67,100,100,100,100,100,100,100,-86,-79,44,
56,2022-07-23-17:04:58,-77,-82,100,100,-85,-77,100,100,100,100,100,-68,-70,100,100,-71,100,100,100,100,100,100,100,-86,-76,44,
57,2022-07-23-17:05:03,-71,-76,100,100,-83,-81,100,100,100,100,100,-67,-60,100,100,-67,100,100,100,100,100,100,100,-87,-77,44,
58,2022-07-23-17:05:08,-91,-94,100,100,-89,-86,100,100,100,100,100,-78,-54,100,100,-77,100,100,100,100,100,100,100,-93,-84,44,
59,2022-07-23-17:05:13,-78,-80,100,100,-86,-77,100,100,100,100,100,-68,-70,100,100,-70,100,100,100,100,100,100,100,-86,-75,44,
